Feature,Duration,ATE,Normalized_ATE,Sum_Normalized_ATE,Type
High Gain Antenna Azimuth,180,41.61748472628975,0.13436041308373822,0.9999999999999999,IBS_N
High Gain Antenna Elevation,180,24.17127841674054,0.07803602197957335,0.9999999999999999,IBS_N
Heater Dutycycle,180,60.84764310477559,0.19644422329937336,0.9999999999999999,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,180,39.17070602145088,0.12646108423989358,0.9999999999999999,IBS_N
2.5V_PCU_ELB,190,32.0758211626889,0.18470035794698858,1.0,IBS_N
Radial Distance from Sun,190,0.0114141504249529,6.572544654295123e-05,1.0,IBS_N
Electronic Box Temperature,190,28.76327893445807,0.1656259363705135,1.0,IBS_N
Outboard Sensor Temperature,190,5.000479434372082,0.028793973402913637,1.0,IBS_N
Inboard Sensor Temperature,190,35.1710597962623,0.2025234927204595,1.0,IBS_N
Solar Array's Angle,190,21.34767800232761,0.12292510761824034,1.0,IBS_N
High Gain Antenna Azimuth,190,5.588188501988957,0.03217814475762224,1.0,IBS_N
High Gain Antenna Elevation,190,6.306844135662204,0.03631633819955567,1.0,IBS_N
Heater Dutycycle,190,29.47947227028934,0.16974995130426537,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,190,9.919862150495806,0.05712097223289815,1.0,IBS_N
2.5V_PCU_ELB,200,31.90094930355001,0.1396743660392785,1.0,IBS_N
Radial Distance from Sun,200,0.0120160617164173,5.2610841970858275e-05,1.0,IBS_N
Electronic Box Temperature,200,14.270695075743484,0.06248247563662662,1.0,IBS_N
Outboard Sensor Temperature,200,5.64250145868632,0.02470499566074082,1.0,IBS_N
Inboard Sensor Temperature,200,1.6051024680605608,0.007027742890067899,1.0,IBS_N
Solar Array's Angle,200,16.620209360984095,0.07276953371657822,1.0,IBS_N
High Gain Antenna Azimuth,200,17.819977561005068,0.0780225705819535,1.0,IBS_N
High Gain Antenna Elevation,200,75.67353102503148,0.33132720820626893,1.0,IBS_N
Heater Dutycycle,200,11.37664967828086,0.0498112553436775,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,200,53.47352889551156,0.23412724108283708,1.0,IBS_N
2.5V_PCU_ELB,210,33.45592831390897,0.12007306177172078,1.0,IBS_N
Radial Distance from Sun,210,0.0125638550214125,4.50915761751507e-05,1.0,IBS_N
Electronic Box Temperature,210,65.6382745007233,0.23557524737515367,1.0,IBS_N
Outboard Sensor Temperature,210,19.04243571623367,0.06834315098316265,1.0,IBS_N
Inboard Sensor Temperature,210,5.502909784500469,0.019749899637483102,1.0,IBS_N
Solar Array's Angle,210,18.59604170251661,0.06674104640305178,1.0,IBS_N
High Gain Antenna Azimuth,210,38.94350548124324,0.1397679327676177,1.0,IBS_N
High Gain Antenna Elevation,210,9.473080059032108,0.03399880931188301,1.0,IBS_N
Heater Dutycycle,210,13.461879233486226,0.04831457796057719,1.0,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,210,74.50314077026594,0.2673911822131749,1.0,IBS_N
2.5V_PCU_ELB,220,0.9181865095083824,0.006051054219157389,1.0000000000000002,IBS_N
Radial Distance from Sun,220,0.0130271267824627,8.58516757371281e-05,1.0000000000000002,IBS_N
Electronic Box Temperature,220,0.1085836314119572,0.0007155903884261502,1.0000000000000002,IBS_N
Outboard Sensor Temperature,220,10.7086130454174,0.07057215225748777,1.0000000000000002,IBS_N
Inboard Sensor Temperature,220,36.04866556444775,0.23756875928784688,1.0000000000000002,IBS_N
Solar Array's Angle,220,0.0989503262003209,0.0006521047550154466,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,220,52.19541423756304,0.3439794402032544,1.0000000000000002,IBS_N
High Gain Antenna Elevation,220,39.06725371843154,0.2574619295706927,1.0000000000000002,IBS_N
Heater Dutycycle,220,6.742884884269784,0.044437117737766936,1.0000000000000002,IBS_N
Outboard Sensor minus Inboard Sensor Temp.,220,5.838345315171077,0.038475999904615456,1.0000000000000002,IBS_N
2.5V_PCU_ELB,230,4.931504097454335,0.016734469305546337,1.0000000000000002,IBS_N
Radial Distance from Sun,230,0.0132839043009672,4.5077340379196355e-05,1.0000000000000002,IBS_N
Electronic Box Temperature,230,39.39162192477502,0.13367075743404833,1.0000000000000002,IBS_N
Outboard Sensor Temperature,230,39.20965480605242,0.13305327378145357,1.0000000000000002,IBS_N
Inboard Sensor Temperature,230,10.817838056787728,0.0367090395417362,1.0000000000000002,IBS_N
Solar Array's Angle,230,53.24625575452207,0.18068480020513064,1.0000000000000002,IBS_N
High Gain Antenna Azimuth,230,40.04621336326482,0.1358920351859487,1.0000000000000002,IBS_N
High Gain Antenna Elevation,230,22.75675867096049,0.07722233865110159,1.0000000000000002,IBS_N
Heater Dutycycle,230,32.910783431937624,0.1116788071711306,1.0000000000000002,IBS_N
Outboard Senso  r minus Inboard Sensor Temp.,230,51.367480584685424,0.17430940138352496,1.0000000000000002,IBS_N
2.5V_PCU_ELB,240,22.48184614311612,0.0809961713662079,1.0,IBS_N
Radial Distance from Sun,240,0.0136042315214964,4.9012463683196485e-05,1.0,IBS_N
Electronic Box Temperature,240,10.068349894490854,0.03627361330727841,1.0,IBS_N
